day	hour	value	ip	port
10	4	440	126.674.234.543	7000
10	5	90	126.674.234.543	9000
10	6	488	126.674.234.543	8888
10	7	44	126.674.234.543	80
10	8	499	126.674.234.543	8080
10	9	89	126.674.234.543	8000
10	10	347	126.674.234.543	7000
10	11	554	126.674.234.543	9000
10	12	890	126.674.234.543	8888
11	1	940	129.432.123.3	80
11	2	566	129.432.123.3	8080
11	3	917	129.432.123.3	8000
11	4	105	129.432.123.3	7000
11	5	806	129.432.123.3	9000
11	6	612	129.432.123.3	8888
11	7	141	129.432.123.3	80
11	8	978	129.432.123.3	8080
11	9	184	129.432.123.3	8000
11	10	808	129.432.123.3	7000
11	11	498	129.432.123.3	9000
11	12	807	129.432.123.3	8888
12	1	931	129.987.123.422	80
12	2	827	129.987.123.422	8080
12	3	415	129.987.123.422	8000
12	4	61	129.987.123.422	7000
12	5	412	129.987.123.422	9000
12	6	305	129.987.123.422	8888
12	7	320	129.987.123.422	80
12	8	351	129.987.123.422	8080
12	9	881	129.987.123.422	8000
12	10	632	129.987.123.422	7000
12	11	307	129.987.123.422	9000
12	12	127	129.987.123.422	8888
13	1	994	987.654.432.123	80
13	2	170	987.654.432.123	8080
13	3	89	987.654.432.123	8000
13	4	111	987.654.432.123	7000
13	5	226	987.654.432.123	9000
13	6	49	987.654.432.123	8888
13	7	711	987.654.432.123	80
13	8	816	987.654.432.123	8080
13	9	515	987.654.432.123	8000
13	10	915	987.654.432.123	7000
13	11	82	987.654.432.123	9000
13	12	424	987.654.432.123	8888
14	1	125	456.423.0.124	80
14	2	255	456.423.0.124	8080
14	3	244	456.423.0.124	8000
14	4	941	456.423.0.124	7000
14	5	90	456.423.0.124	9000
14	6	98	456.423.0.124	8888
14	7	995	456.423.0.124	80
14	8	346	456.423.0.124	8080
14	9	961	456.423.0.124	8000
14	10	804	456.423.0.124	7000
14	11	612	456.423.0.124	9000
14	12	675	456.423.0.124	8888
15	1	555	126.674.234.543	80
15	2	128	126.674.234.543	8080
15	3	669	126.674.234.543	8000
15	4	930	126.674.234.543	7000
15	5	522	126.674.234.543	9000
15	6	871	126.674.234.543	8888
15	7	451	126.674.234.543	80
15	8	994	126.674.234.543	8080
15	9	533	126.674.234.543	8000
15	10	549	126.674.234.543	7000
15	11	524	126.674.234.543	9000
15	12	420	126.674.234.543	8888
